"FilePath","Category","DirName","Lines","Sections","Name","Description","ArgumentHint","UserInvocable","HasAllowedTools","LargeTables_10plus","LargeLists_30plus","LargeText_30plus","HasLargeInline","CodeLangs","Images","RefCount","RefFileNames","HasEmptyRef","CacheLayerAnnotations","RefReadInFirst20pct","TitleMatchesName","IsGenreWrapper","HasGenreRoute"
"AI科幻\.github\skills\AI科幻-审阅总大纲\SKILL.md","GenreWrapper","AI科幻-审阅总大纲","106","13","AI科幻-审阅总大纲","'审阅AI科幻小说总大纲、全书总纲、故事多面体、主线谜团与单元案矩阵。这里的“总大纲”默认指总纲层文件组，而非单一文件；至少包括 `小说总大纲.md`、`故事面/`、`伏笔与回收总纲.md`、`故事多面体大纲.md`，以及其它相关总表级大纲文件。用于审阅总纲层 Canon 文件及其联动关系。关键词：总纲审阅、总大纲、全书审阅、机制递进、单元案矩阵、总纲报告。'","'要审哪组AI科幻总纲层文件？默认按“总纲层文件组联动、主线供血、机制递进与可回写性”处理。'","false","False","0","0","0","False","","0","4","题材总纲审阅模板补充.md;总纲断供诊断与回写补丁.md;总纲审阅报告增补.md;总纲审阅专属检查清单.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-审阅故事设定\SKILL.md","GenreWrapper","AI科幻-审阅故事设定","120","11","AI科幻-审阅故事设定","'用于审阅AI科幻故事设定、手法、系统逻辑链与数据痕载体文档。作为题材包装层与兼容入口，负责补充异常数据、系统摩擦与技术代价等题材裁判口径，并明确要求优先强制加载并使用 `通用-审阅故事设定`。关键词：AI科幻设定审阅、系统逻辑链、数据痕载体、规则代价。'","'要审哪份AI科幻故事设定文件？默认按“可执行、可证据化、可叙事化、可承受代价”处理。'","false","False","0","0","0","False","","0","1","题材技术审阅模板补充.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-审阅章节正文\SKILL.md","GenreWrapper","AI科幻-审阅章节正文","103","12","AI科幻-审阅章节正文","'审阅AI科幻章节正文。用于检查章内追读驱动、中段回报、章末钩子、人物传记一致性、公平推理、数据链、时间表达与作者管理编号出戏风险，并输出可落库、可回写的章节审阅报告。'","'要审哪一章AI科幻正文？默认按“追读驱动、中段回报、章末钩子、公平推理与数据链”处理。'","false","False","0","0","0","False","","0","6","控制卡_正文_审阅_回炉桥.md;题材章节正文审阅模板补充.md;章节审阅核心点.md;章节正文审阅报告增补.md;章节正文审阅检查清单.md;AI科幻现实针脚与回炉优先级.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-小说项目初始化\SKILL.md","GenreWrapper","AI科幻-小说项目初始化","117","9","AI科幻-小说项目初始化","'用于【AI科幻】题材下的项目级战略初始化——在选定平台后、设计大纲之前，补充AI科幻特有的技术切口、异常数据体系、数字空间压迫感、技术代价锚点与平台适配偏好。作为题材包装层与路由层，强制加载并使用 `通用-小说项目初始化`。'","'--platform 七猫 --genre AI科幻。初始化哪本AI科幻新书？'","false","False","1","0","0","True","","0","1","起点AI科幻读者分群与需求洞察.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-平台签约评估框架\SKILL.md","GenreWrapper","AI科幻-平台签约评估框架","123","13","AI科幻-平台签约评估框架","'用于【AI科幻】题材下以默认极严、保守、负面证据优先的口径评估作品在{目标平台}的签约、过稿与连载潜力。作为题材包装层与路由层，负责保留AI科幻标准入口名，并明确要求优先强制加载并使用 `通用-平台签约评估框架`。关键词：AI科幻签约评估、极严评估、签约概率评估、过稿潜力、总纲闸门预评估、分卷闸门预评估、正文准入评估、竞品威胁评估。'","'要评估哪部AI科幻作品在哪个目标平台（起点/七猫/番茄/晋江等）的签约或过稿潜力，当前材料位于总纲、分卷还是正文阶段？本 Skill 默认即采用极严保守口径（继承自通用-平台签约评估框架），并强制回答""当前层是否适合推进下一层""；重点按""赛道归类、黄金三章、主角抓手、长线供血与投稿准备""处理。'","false","False","0","0","0","False","","0","3","起点签约概率评估报告模板.md;起点签约概率评估检查清单.md;起点AI科幻审核锚点与红线.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-强化章末钩子\SKILL.md","GenreWrapper","AI科幻-强化章末钩子","56","6","AI科幻-强化章末钩子","'用于【AI科幻】题材下的章末钩子强化。作为题材包装层与兼容入口，负责保留AI科幻入口名、补充未完成动作、新变量入场、更糟后果与订阅级驱动口感，并明确要求优先强制加载并使用 `通用-强化章末钩子`。关键词：AI科幻章末钩子、转折、揭露、危机、下一章驱动。'","'要强化哪一章AI科幻结尾？默认按“转折、揭露、危机、未完成动作与更糟后果”处理。'","false","False","0","0","0","False","","0","0","","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-强化章节开头\SKILL.md","GenreWrapper","AI科幻-强化章节开头","57","6","AI科幻-强化章节开头","'用于【AI科幻】题材下的章节开头强化。作为题材包装层与兼容入口，负责保留AI科幻入口名、补充冷开场、异常触发、技术针脚与即时动作压力口感，并明确要求优先强制加载并使用 `通用-强化章节开头`。关键词：AI科幻开头强化、冷开场、异常触发、首屏留存。'","'要强化哪一章AI科幻开头？默认按“异常、冲突、困境、悬念缺口与即时动作压力”处理。'","false","False","0","0","0","False","","0","1","黄金三章开篇策略.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-执行场景单元\SKILL.md","GenreWrapper","AI科幻-执行场景单元","69","8","AI科幻-执行场景单元","'用于【AI科幻】题材下的场景单元施工、章节微型剧本与抓眼开场。作为题材包装层、兼容入口与路由层，负责保留AI科幻标准入口名、补充数字空间压迫、系统阻力与数据痕迹入场口感，并明确要求优先强制加载并使用 `通用-执行场景单元`。关键词：AI科幻场景单元、系统界面、数据面板、服务器机房、数字日常异化。'","'要处理哪一章、哪一场景或哪类AI科幻场景？默认同时考虑抓眼入口、技术针脚、系统阻力、数据痕迹入场与章尾推动。'","false","False","0","0","0","False","","0","4","控制卡到场景单元桥接模板.md;数字战争可视化爽点设计.md;AI科幻日常异化与场景压迫补丁.md;README.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-执行对话冲突\SKILL.md","GenreWrapper","AI科幻-执行对话冲突","69","8","AI科幻-执行对话冲突","'用于【AI科幻】题材下的审讯、试探、争执、谈判与规则对峙场景。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名、补充职业语体与程序压迫，并明确要求优先强制加载并使用 `通用-执行对话冲突`。'","'要处理哪段AI科幻关键对话？默认按“职业压迫感、潜台词、误导与风险升级”处理。'","false","False","0","0","0","False","","0","3","控制卡回报点与对话施压桥.md;AI科幻职业话术与审讯压迫补充.md;README.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-执行微空间受限场景\SKILL.md","GenreWrapper","AI科幻-执行微空间受限场景","70","8","AI科幻-执行微空间受限场景","'用于【AI科幻】题材下的微空间或受限空间场景施工。作为题材包装层、兼容入口与路由层，负责保留AI科幻标准入口名、补充受限数字空间、技术针脚、规则代价与数据痕迹回收口径，并明确要求优先强制加载并使用 `通用-执行微空间受限场景`。关键词：AI科幻微空间、系统机房、电梯井、系统监控室、数据存储区、贴脸技术惊悚。'","'要处理哪一章、哪一场微空间，或哪种受限环境？默认同时考虑现实功能、微反常升级、规则代价、数据痕迹场与章尾余震。'","false","False","0","0","0","False","","0","3","控制卡压进微空间镜头的施工桥.md;AI科幻微空间异化手法与禁行项.md;README.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-提纯多平台母稿\SKILL.md","GenreWrapper","AI科幻-提纯多平台母稿","54","6","AI科幻-提纯多平台母稿","'用于【AI科幻】题材下的多平台母稿提纯。作为题材包装层与兼容入口，负责保留AI科幻入口名、补充异常数据、系统摩擦、数字压迫感与长期谜团的底盘保真，并明确要求优先强制加载并使用 `通用-提纯多平台母稿`。关键词：AI科幻母稿提纯、多平台底稿、数据链、平台可分化。'","'要把哪一章AI科幻母稿提纯到可供多平台改写？默认按“保底盘、保事件链、保异常数据与追读链”处理。'","false","False","0","0","0","False","","0","0","","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-撰写书评\SKILL.md","GenreWrapper","AI科幻-撰写书评","56","6","AI科幻-撰写书评","'用于【AI科幻】题材下的全书 / 分部 / 分卷 / 分章书评撰写、重写与审计。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名、补充技术现实压迫、异常数据与人性代价的推荐话术，并明确要求优先强制加载并使用 `通用-撰写书评`。支持今日头条平台。'","'要给哪部AI科幻作品写书评？默认按“技术现实压迫、异常数据、人性代价与不剧透安利”处理。'","false","False","0","0","0","False","","0","3","普通读者AI科幻书评切口库.md;题材书评补充规则.md;AI科幻按平台推荐书评模板组.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-撰写内容简介\SKILL.md","GenreWrapper","AI科幻-撰写内容简介","52","6","AI科幻-撰写内容简介","'用于【AI科幻】题材下的内容简介撰写、压缩与适配。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名、补充题材卖点与持续承诺，并明确要求优先强制加载并使用 `通用-撰写内容简介`。支持今日头条平台。'","'要写哪部AI科幻作品的内容简介？默认按“异常数据、技术代价、长期谜团与平台勾连”处理。'","false","False","0","0","0","False","","0","1","题材简介补充规则.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-正文润色\SKILL.md","GenreWrapper","AI科幻-正文润色","64","9","AI科幻-正文润色","'用于【AI科幻】题材下的正文润色。作为题材包装层、兼容入口与路由层，负责保留AI科幻标准入口名、补充有限视角、数据链、系统阻力与数字压迫感裁判边界，并明确要求优先强制加载并使用 `通用-正文润色`。关键词：AI科幻正文润色、有限视角、数据链、系统阻力、代入感。'","'要润哪一章AI科幻正文？默认按“保信息、保数据链、保中段回报与章末钩子”处理。'","false","False","0","0","0","False","","0","6","章节正文润色检查清单.md;章节正文润色流程.md;正文润色数值双轨禁忌与沉浸控制.md;正文润色增强技法与读者机制.md;正文润色执行流程与输出规范.md;正文润色总裁判与交付规则.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-润色作者有话说\SKILL.md","GenreWrapper","AI科幻-润色作者有话说","72","10","AI科幻-润色作者有话说","'用于【AI科幻】题材下的作者有话说润色。作为题材包装层与兼容入口，负责保留AI科幻入口名，补充“一粒城市微细节 + 一点后怕或冷笑 + 一个轻追问”的章后口感，并明确要求优先强制加载并使用 `通用-润色作者有话说`。关键词：AI科幻作者有话说、读者向小剧场、余波、轻悬念。'","'要润色哪一章AI科幻的作者有话说？默认按“城市微细节切入、轻余波、轻互动、不剧透、不讲技术事件解析”处理。'","false","False","0","0","0","False","","0","2","题材作者有话说补充规则.md;作者有话说与读者侧产物协同.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-生成章节控制卡\SKILL.md","GenreWrapper","AI科幻-生成章节控制卡","67","8","AI科幻-生成章节控制卡","'用于【AI科幻】题材下的章节控制卡生成。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名、补充主线推进、数据痕迹场、系统阻力与危险升级口径，并明确要求优先强制加载并使用 `通用-生成章节控制卡`。关键词：AI科幻控制卡、主线推进、数据痕迹场、中段回报、危险升级。'","'要为哪一章AI科幻生成控制卡？默认按“主线推进、数据痕迹场、中段回报、章末钩子与危险升级”处理。'","false","False","0","0","0","False","","0","4","卷首_中段_卷尾分型模板卡.md;可直接复制填写的AI科幻控制卡模板.md;控制卡标题段落与作者有话说策略.md;题材控制卡补充规则.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-章节创作闭环\SKILL.md","GenreWrapper","AI科幻-章节创作闭环","77","8","AI科幻-章节创作闭环","'用于【AI科幻】题材下的章节创作 SOP 编排。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名，并明确要求优先强制加载并使用 `通用-章节创作闭环`，同时锁定题材写作链、程序数据痕迹续性、数字压迫感与批量回炉护栏。'","'要按AI科幻口径连续跑几章闭环？默认按“正文 → 润色 → 去AI味 → 审阅回炉 → 读者产物”完整续跑。'","false","False","0","0","0","False","","0","4","读者侧产物接线规则.md;控制卡入正文施工与回炉桥.md;题材章节创作闭环补充规则.md;阅读笔记与分章书评路径约定补充.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-管理连续性冷热线\SKILL.md","GenreWrapper","AI科幻-管理连续性冷热线","52","6","AI科幻-管理连续性冷热线","'用于【AI科幻】题材下的连续性、旧线回收与冷热线管理。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名、补充旧案回声、关系余波、数据链不断点与回归压力判断，并明确要求优先强制加载并使用 `通用-管理连续性冷热线`。关键词：AI科幻连续性、旧线回收、冷热线、回归窗口、数据链不断点。'","'要梳理哪几章AI科幻连续性与旧线回收？默认按“回归窗口、人物压力、数据链不断点与下一章承接风险”处理。'","false","False","0","0","0","False","","0","1","题材连续性补充规则.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-组包投稿材料\SKILL.md","GenreWrapper","AI科幻-组包投稿材料","94","10","AI科幻-组包投稿材料","'用于【AI科幻】题材下的投稿材料组包、起点内投整包与补件审计。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名，补充技术抓手、数据痕迹常、系统摩擦、长期谜团与起点男频裁判口径，并明确要求优先强制加载并使用 `通用-组包投稿材料`。'","'要把哪部AI科幻作品组装成投稿包？默认按“起点评估结果、书名简介、30000字连续正文、总大纲/第1卷卷纲与最弱一环”处理。'","false","False","0","0","0","False","","0","2","起点内投材料落盘模板.md;题材投稿包补充规则.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-设计事件案件引擎\SKILL.md","GenreWrapper","AI科幻-设计事件案件引擎","66","7","AI科幻-设计事件案件引擎","'用于【AI科幻】题材下的单元案、事件母板与技术事件供血设计。作为题材包装层与路由层，负责保留AI科幻标准入口名，并明确要求优先强制加载并使用 `通用-设计事件案件引擎`。'","'要设计哪个AI科幻单元案或事件母板？默认按“异常信号、数据链、误导反证、代价与主线供血”处理。'","false","False","0","0","0","False","","0","2","AI科幻现实摩擦与单元案供血规则.md;README.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-设计人物传记\SKILL.md","GenreWrapper","AI科幻-设计人物传记","98","9","AI科幻-设计人物传记","'用于【AI科幻】题材下的人物传记设计与重写。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名、补充可证据化秘密、镜头抓手、风险边界与程序口径，并明确要求优先强制加载并使用 `通用-设计人物传记`。关键词：AI科幻人物传记、可证据化秘密、镜头抓手、人物裁判源。'","'要设计或重写哪份AI科幻人物传记？默认按“身份、动机、边界、关系、抓手、心理弧线、索引”完整落地。'","false","False","0","0","0","False","","0","9","创新人物设计与心理弧线规范.md;创新性人物设计要点.md;内容一致性与风险校验.md;人机互动爽点模式.md;人物传记模板与写作抓手.md;三级大纲索引模板.md;三级大纲索引示例.md;心理弧线与索引规则.md;质量控制与验证流程.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-设计分卷大纲\SKILL.md","GenreWrapper","AI科幻-设计分卷大纲","104","13","AI科幻-设计分卷大纲","'设计AI科幻小说分部大纲、分卷大纲、卷纲、章清单与章节微型剧本。核心要求是：分部/分卷大纲必须把上一级大纲分配给本层的内容切实、全量、保质落地。分部大纲要承接总纲层文件组分配给本部的全部内容；分卷大纲在无分部小说中按分部口径承接总纲层分配内容，在有分部小说中承接本部分配给本卷的全部内容。覆盖：分部、分卷、卷纲、章纲、章清单、故事线、情节块、故事点、卷级启动表、爽点布点表、章节钩子链、反AI味、技术锚点、移动端可读性。'","'要处理哪份AI科幻分部 / 分卷文件？默认按“上级全量落地、卷级任务拆解、章清单与微型剧本”处理。'","false","False","0","0","0","False","","0","4","分部模板.md;分部与分卷专属设计规则.md;分卷模板与章节工件.md;故事面供血分卷落地与首卷抓手.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-设计封面生图提示词\SKILL.md","GenreWrapper","AI科幻-设计封面生图提示词","78","11","AI科幻-设计封面生图提示词","'用于【AI科幻】题材下的封面生图提示词设计。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名、补充数字压迫感、异常数据、人物危险感与平台展示边界，并明确要求优先强制加载并使用 `通用-设计封面生图提示词`。关键词：AI科幻封面提示词、城市压迫、异常数据、平台展示。'","'要为哪部AI科幻作品设计封面生图提示词？默认按“数字压迫感、异常数据、人物危险感与平台展示需求”处理。'","false","False","0","0","0","False","","0","0","","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-设计总大纲\SKILL.md","GenreWrapper","AI科幻-设计总大纲","102","12","AI科幻-设计总大纲","'设计AI科幻小说总大纲、全书总纲、故事多面体、主线谜团面与单元案矩阵。这里的“总大纲”默认指总纲层文件组，而非单一文件；至少包括 `小说总大纲.md`、`故事面/`、`伏笔与回收总纲.md`、`故事多面体大纲.md`，以及其它相关总表级大纲文件。用于创建、重写、修改总纲层 Canon 文件及其联动关系。覆盖：总大纲、总纲、全书、故事面、M0、X01、单元案矩阵、钩子链、反AI味、技术锚点、缺陷型主角、总纲模板、总纲审计。'","'要处理哪组AI科幻总纲层文件？默认按“总纲层文件组联动、M0 / X / C、数据链与平台口径”处理。'","false","False","0","0","0","False","","0","4","故事面联动首卷承诺与平台闭环.md;矩阵式三卷架构参考.md;总纲模板与验收.md;总纲专属设计规则.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-设计故事设定\SKILL.md","GenreWrapper","AI科幻-设计故事设定","123","9","AI科幻-设计故事设定","'用于【AI科幻】题材下的故事设定、手法、系统逻辑链与数据痕载体设计。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名、补充都市系统摩擦、异常数据与技术代价边界，并明确要求优先强制加载并使用 `通用-设计故事设定`。关键词：AI科幻故事设定、系统逻辑链、数据痕载体、规则代价。'","'要设计或重写哪份AI科幻故事设定文件？默认按“规则条款、数据痕迹射、系统摩擦、镜头包、验证流程”处理。'","false","False","0","0","0","False","","0","4","创新性要素库.md;科学对冲玄学与AI科幻程序证据补丁.md;示例格式与验证流程.md;AI觉醒动机分类法.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-设计故事面\SKILL.md","GenreWrapper","AI科幻-设计故事面","69","8","AI科幻-设计故事面","'用于【AI科幻】题材下的故事面设计、重写与审计。作为题材包装层与兼容入口，负责保留AI科幻入口名、补充社会议题、异常数据与人物后果耦合口径，并明确要求优先强制加载并使用 `通用-设计故事面`。关键词：AI科幻故事面、M0、X线、供血锚点、卷级推进。'","'要设计或重写哪个AI科幻故事面？默认按“谜面、供血锚点、跨卷交接与正文可调用性”处理。'","false","False","0","0","0","False","","0","1","AI科幻议题与悬疑母题耦合清单.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-设计标题\SKILL.md","GenreWrapper","AI科幻-设计标题","77","9","AI科幻-设计标题","'用于【AI科幻】题材下的书名设计、筛选、重排与多平台适配。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名，补充都市现实压迫、数据痕迹常、技术切口与系统性危险感，并明确要求优先强制加载并使用 `通用-设计标题`。支持今日头条平台。'","'要为哪部AI科幻作品设计标题？默认按“技术现实感、异常感、数据痕迹与平台辨识度”生成候选并筛选。'","false","False","0","0","0","False","","0","2","各平台题材化书名补丁.md;题材书名补充规则.md","False","0","False","True","True","False"
"AI科幻\.github\skills\AI科幻-设计线索伏笔与回收台账\SKILL.md","GenreWrapper","AI科幻-设计线索伏笔与回收台账","71","9","AI科幻-设计线索伏笔与回收台账","'用于【AI科幻】题材下的线索、伏笔、误导与回收台账设计。作为题材包装层、兼容入口与路由层，负责保留AI科幻入口名、补充旧案回声、城市留痕、数据公平性与数据痕迹径，并明确要求优先强制加载并使用 `通用-设计线索伏笔与回收台账`。'","'要建立或重写哪份AI科幻线索 / 伏笔台账？默认按“线索、数据痕迹误导、回收窗口与余波”一并处理。'","false","False","0","0","0","False","","0","1","README.md","False","0","False","True","True","False"
